showid,name,type,rating,duration,description,hook_text,genre,release_year,release_date,mood_tag,actors,creator,director,audio,subtitles,tags,similar_titles_id,production_country
81134165,A Kidnapping Scandal: The Florence Cassez Affair,TVSeries,U/A 13+,1 Season,Was Florence Cassez the mastermind of a kidnapping ring? Or a victim of corruption? This documentary examines one of Mexico's most controversial cases.,"An incisive documentary directed by Gerardo Naranjo, based on ""A Criminal Novel"" by Jorge Volpi.",Documentary,2022,2022-8-25,Investigative,,,,,,Political TV Shows;TV Shows Based on Books;Political Documentaries;Crime TV Shows;Docuseries;True Crime Documentaries,81273461;81002192;81045551;81353946;81511776;81123826;81094883;81460514;81671836;81506051;81380539;81212487,
81116168,History 101,TVSeries,U/A 16+,2 Seasons,"Infographics and archival footage deliver bite-size history lessons on scientific breakthroughs, social movements and world-changing discoveries.",,Documentary,2020,2022-8-25,,,,,,,British;Docuseries;Social & Cultural Docs,80216752;81123425;81098586;80989772;81345769;81139212;81328829;81211003;81014547;80161497;81312877;81273453,United Kingdom
81495995,"Watch Out, We're Mad",Movie,U/A 13+,1.5,"In this reboot of the 1970s Bud Spencer and Terence Hill film, two brothers estranged for 25 years reunite to reclaim their father's beloved dune buggy.","Edoardo Pesce, Alessandro Roja and Alessandra Mastronardi put the pedal to the metal in this action-comedy reboot.",Comedy,2022,2022-8-24,Goofy;Exciting,Edoardo Pesce;Alessandro Roja;Alessandra Mastronardi;Christian De Sica;Francesco Bruni;Massimiliano Rossi;Michael Schermi,,Younuts!,English;Hindi;Italian - Audio Description;Italian [Original],English;English;Italian,Italian;Comedy Movies;Action & Adventure Movies,81253859;81437344;81256747;81416977;81176235;81238155;81721676;81227923;81336431;80091658;81446739;60004471,Italy
80115119,Lost Ollie,TVSeries,U/A 7+,1 Season,A patchwork rabbit with floppy ears and fuzzy memories embarks on an epic quest to find his best friend — the young boy he desperately loves.,"This poetic tale of love, loss and the power of imagination took home five Children's & Family Emmys.",Fantasy,2022,2022-8-24,Bittersweet;Dark;Heartfelt,Gina Rodriguez;Jake Johnson;Jonathan Groff;Kesler Talbot;Tim Blake Nelson;Mary J. Blige,Shannon Tindle,,,,TV Dramas;Family Watch Together TV;TV Shows Based on Books;TV Action & Adventure;US TV Shows;Fantasy TV Shows,80178603;81076952;80107989;80239306;81012821;80244283;81220825;80993016;80214236;80201492;80148535;80050008,United States
81092921,Queer Eye: Brazil,TVSeries,U/A 13+,1 Season,"Brazil’s Fab Five use their knowledge of well-being, style, grooming, design and culture to transform everyday heroes’ lives in this uplifting series.",,Reality TV,2022,2022-8-24,Heartfelt;Feel-Good;Emotional,Fred Nicácio;Rica Benozzati;Luca Scarpelli;Yohan Nicolas;Guto Requena,,,,,Brazilian;Makeover Reality TV;Reality TV;Lifestyle,80160037;81075744;81208166;81032737;81319212;81026300;81206559;81094723;80209379;81109061;81075536;81196469,Brazil
81447330,Selling The OC,TVSeries,U/A 16+,2 Seasons,"The Oppenheim Group expands to Orange County, where an all-new real estate team shows off lavish oceanfront listings and big personalities make waves.","The production team behind ""Selling Sunset"" and ""Selling Tampa"" brings the decadence and drama to a hot new market.",Reality TV,2022,2022-8-24,,,,,,,Reality TV;US TV Shows;Lifestyle,80223108;80993568;81512574;81330745;81425251;81039144;81108694;81590663;81462121;81666490;70217931;81228402,United States
81327515,Running with the Devil: The Wild World of John McAfee,Movie,A,1.7667,"Through raw, revealing footage and interviews with fugitive tech pioneer John McAfee, this documentary uncovers new layers of his wild years on the run.","Directed by BAFTA winner Charlie Russell, McAfee's incredible story features archival footage from journalist Robert King.",Documentary,2022,2022-8-24,Scandalous;Provocative,,,Charlie Russell,English - Audio Description;English [Original];Hindi,English,Documentaries;Crime Movies;Biographical Documentaries,81380539;81466159;80239100;81213109;81227167;81244037;81436777;81512108;80224905;81404807;81122462;81097791,
81498303,Under Fire,TVSeries,A,1 Season,"At East Bank Station, a close-knit team of firefighters must balance a dangerous, high-stress job, personal challenges and professional setbacks.","Louis Talpe, Sam Louwyck, Lien De Graeve and Maarten Ketels star in this high-stakes drama.",Drama,2022,2022-8-24,Emotional,Louis Talpe;Lien de Grave;Sam Louwyck;Katelijne Verbeke;Dirk Van Dijck;Maarten Ketels;Alessia Sartor;Aimé Claeys;Sahin Avci;Wouter Bruneel;Ann Tuts;Piet De Praitere;Kasper Vandenberghe,,Joost Wynant,,,TV Dramas;Belgian,80182216;80202258;81305674;80241181;81397422;81221179;81218903;81435414;81268316;80240691;80176893;80238738,Belgium
81073195,The Delivery Boy,Movie,A,1.1,A teen criminal and a young sex worker forge an unlikely alliance during a night that forces them to confront painful pasts and crises of conscience.,,Thriller,2019,2022-8-24,Violent;Gritty;Dark,Jammal Ibrahim;Jemima Osunde;Charles Etubiebi;Jude Chukwuka;Chris Iheuwa;Kehinde Fasuyi,,Adekunle Nodash Adejuyigbe,Hausa [Original],English;English,Nollywood;Thriller Movies;African Movies,81641731;81049899;81663114;81435732;81689060;81727155;81591162;81270668;81435728;81324416;81663120;81520050,Africa
81134264,Mo,TVSeries,A,1 Season,"In Texas, Mo straddles the line between two cultures, three languages and a pending asylum request while hustling to support his Palestinian family.","Comedian Mo Amer stars in, writes for and produces this series he co-created with Ramy Youssef (“Ramy”).",Comedy,2022,2022-8-24,Gritty;Heartfelt,Mohammed Amer;Teresa Ruiz;Omar Elba;Farah Bsieso;Cherien Dabis;Tobe Nwigwe;Walt Roberts;Kamal Zayed;Lee Eddy,Mohammed Amer;Ramy Youssef,,,,TV Dramas;TV Comedies;US TV Shows;Social Issue TV Dramas,80198208;80239503;81435608;81031262;81616526;81446305;81194505;81249713;81447461;81613815;80124723;81205316,United States
